/V0/MINUS X,/V0/MINUS Y
3.299999999999999e-09,5.148547349486362e-07
3.619999999999998e-09,5.148434546683944e-07
3.818750000000001e-09,5.148532645806503e-07
3.830078125000001e-09,-3.357384956347332e-05
3.84870354821697e-09,-2.008601946792123e-05
3.856865786278385e-09,2.654641079582023e-05
3.86030408877169e-09,4.766160843261413e-05
3.867180693758298e-09,7.470410595462408e-05
3.872430880279987e-09,9.933393529199811e-05
3.87406950817305e-09,0.0001247983180394557
3.877346763959177e-09,0.0002662680205269792
3.879895047805587e-09,0.0003751758128892877
3.881680527192378e-09,0.0004315144887928942
3.88377463416488e-09,0.0004513814133426632
3.884847864582023e-09,0.0003708694179760722
3.885946672364872e-09,0.0002598469471848773
3.88697373624065e-09,0.0001897449629852861
3.88790925407137e-09,0.0001400300691922525
3.888970101681956e-09,9.457802879180768e-05
3.891091796903129e-09,3.476860616263989e-05
3.893547747554404e-09,5.478343725534976e-06
3.896350085152315e-09,-3.915386659698033e-06
3.899524867152782e-09,-6.974920881658832e-06
3.903855571304948e-09,-6.722879527691278e-06
3.910626551604744e-09,-7.334110102817288e-06
3.923588857570142e-09,-6.397353634870339e-06
3.949513469500939e-09,-6.189704598222059e-06
3.962135102125705e-09,1.460243812259225e-07
3.966868214359992e-09,6.83056739857752e-06
3.976334438828567e-09,4.07658026415431e-05
3.984399732359981e-09,6.32284958594282e-05
3.990331133019333e-09,0.0001390367970532912
3.992443805851661e-09,0.0001972124483474644
3.99411158964035e-09,0.0002360264438743794
3.995790964749323e-09,0.0002684931325775763
3.99723316124856e-09,0.0002838504915536282
3.99821727361735e-09,0.0002574571046037506
3.999108636808675e-09,0.0002134786253688307
4e-09,0.0001811677161493611
4.000865076690916e-09,0.0001549531587858804
4.001834396777959e-09,0.0001192509229464149
4.002904923931284e-09,7.955276225767668e-05
4.004635916498777e-09,3.738857750287889e-05
4.006618118575045e-09,1.7573445508393e-05
4.00885651852466e-09,1.10362853687998e-05
4.011535335504079e-09,1.010665684850883e-05
4.015392209943607e-09,9.809103953866926e-06
4.020000000000001e-09,9.511270127541215e-06
4.023146751949587e-09,5.591441652174622e-06
4.027596351951753e-09,6.193183397524693e-07
4.031756232573902e-09,1.978882257683921e-07
4.040075993818201e-09,1.171524434970854e-06
4.049990023578481e-09,3.30637490387898e-07
4.068059793599764e-09,1.06145345660368e-06
4.102578217436193e-09,3.893932402033727e-07
4.163213329038162e-09,1.031443104023672e-06
4.282175753133806e-09,4.053913704526224e-07
4.510214673526079e-09,1.023370881132607e-06
4.755107336763039e-09,4.10700583006536e-07
5e-09,1.018287680683983e-06
5.02e-09,7.233158264469151e-07
5.060000000000001e-09,7.158455260206688e-07
5.140000000000003e-09,7.156751770589177e-07
5.300000000000005e-09,7.158457289150415e-07
5.620000000000011e-09,7.15675181370885e-07
5.81875e-09,7.157604371150759e-07
5.830078125e-09,-8.802653737413553e-05
5.848703548591531e-09,-5.423896944244469e-05
5.856865786249506e-09,6.246771239152652e-05
5.860304087808595e-09,0.000115036824721652
5.867180690926771e-09,0.0001828210352716663
5.872430877286617e-09,0.000244270961070502
5.874069504944212e-09,0.0003079778515030303
5.877346760259401e-09,0.0006616407726624099
5.879895046045924e-09,0.0009339096519009323
5.881680525422165e-09,0.001074751649157704
5.883774631280519e-09,0.001124416705097772
5.884847861580154e-09,0.0009231343272532683
5.885946669808711e-09,0.0006455765808761371
5.886973732629338e-09,0.0004703189984708844
5.887909251189075e-09,0.0003460302486322291
5.888970097060886e-09,0.0002323975608659717
5.891091788804508e-09,8.286990399689491e-05
5.893547738366196e-09,9.638025814327863e-06
5.896350075130963e-09,-1.385268865175635e-05
5.899524855269592e-09,-2.151012180466243e-05
5.903855553505908e-09,-2.089168534722878e-05
5.910626521914202e-09,-2.244160084348694e-05
5.923588790699786e-09,-2.015149829523484e-05
5.949513328270954e-09,-1.999951442910824e-05
5.962134996203215e-09,-6.924994923859167e-06
5.966868121677814e-09,6.095306357393141e-06
5.976334372627011e-09,7.436102159302668e-05
5.98439971080591e-09,0.0001189569963445215
5.99033111917227e-09,0.0002709540500982071
5.992443796225042e-09,0.0003869715399406499
5.994111579023657e-09,0.0004649328751962004
5.995790955060081e-09,0.0005295695358606799
5.997233153669509e-09,0.0005605785841465109
5.998217267148931e-09,0.0005075343365700056
5.999108633574467e-09,0.0004198197817332559
6.000000000000001e-09,0.0003549897154531593
6.000865078355675e-09,0.0003026630339471989
6.001834398357238e-09,0.000231270894524283
6.002904926357075e-09,0.0001518757463373468
6.004635919214933e-09,6.75641259463056e-05
6.006618120965948e-09,2.794264494224327e-05
6.008856521504391e-09,1.48898943425419e-05
6.011535339578022e-09,1.304715148099341e-05
6.015392216785312e-09,1.249083264878315e-05
6.020000000000001e-09,1.564500698836506e-05
6.023146750925575e-09,1.134739618602005e-05
6.027596349676134e-09,1.628288722084392e-06
6.031756228210905e-09,-9.342798338071696e-08
6.040075985280448e-09,2.5125914794709e-06
6.049990013137075e-09,3.291553208391198e-07
6.068059781472868e-09,2.199835973321753e-06
6.102578211473375e-09,4.895721415681838e-07
6.163213348094443e-09,2.118639447589879e-06
6.282175846424171e-09,5.326387713632788e-07
6.510214963591086e-09,2.09695313393729e-06
