/vdc/MINUS X,/vdc/MINUS Y,/vdc/PLUS X,/vdc/PLUS Y
6.020000000000001e-09,2.017431663263579e-05,6.020000000000001e-09,-2.017431663263579e-05
6.021227948777114e-09,2.055900466438796e-05,6.021227948777114e-09,-2.055900466438796e-05
6.02368384633134e-09,2.098357207208005e-05,6.02368384633134e-09,-2.098357207208005e-05
6.026163433869723e-09,2.079671089569461e-05,6.026163433869723e-09,-2.079671089569461e-05
6.029894477199075e-09,1.927497551662536e-05,6.029894477199075e-09,-1.927497551662536e-05
6.032768312767238e-09,1.538538107642592e-05,6.032768312767238e-09,-1.538538107642592e-05
6.035137160582329e-09,1.07892587575666e-05,6.035137160582329e-09,-1.07892587575666e-05
6.037521222225038e-09,7.379357962397249e-06,6.037521222225038e-09,-7.379357962397249e-06
6.040268177809538e-09,4.880084416963782e-06,6.040268177809538e-09,-4.880084416963782e-06
6.042680301020083e-09,3.316103088867107e-06,6.042680301020083e-09,-3.316103088867107e-06
6.046204250136622e-09,1.865188783460121e-06,6.046204250136622e-09,-1.865188783460121e-06
6.051896162823292e-09,6.671504671958384e-07,6.051896162823292e-09,-6.671504671958384e-07
6.058884662121588e-09,1.924440881468407e-07,6.058884662121588e-09,-1.924440881468407e-07
6.067335450401806e-09,4.923786983794182e-08,6.067335450401806e-09,-4.923786983794182e-08
6.07872078648497e-09,3.032612832357699e-08,6.07872078648497e-09,-3.032612832357699e-08
6.095560207856126e-09,2.519868894215532e-08,6.095560207856126e-09,-2.519868894215532e-08
6.127353072433298e-09,2.916244699947668e-08,6.127353072433298e-09,-2.916244699947668e-08
6.188443728648252e-09,2.574319460732061e-08,6.188443728648252e-09,-2.574319460732061e-08
6.31062504107816e-09,2.898381540756841e-08,6.31062504107816e-09,-2.898381540756841e-08
6.554987665937977e-09,2.581900698866757e-08,6.554987665937977e-09,-2.581900698866757e-08
7e-09,2.894751079734287e-08,7e-09,-2.894751079734287e-08
7.020000000000001e-09,2.744919472735627e-08,7.020000000000001e-09,-2.744919472735627e-08
7.060000000000003e-09,2.739342131050219e-08,7.060000000000003e-09,-2.739342131050219e-08
7.140000000000008e-09,2.73864856894803e-08,7.140000000000008e-09,-2.73864856894803e-08
7.300000000000017e-09,2.739211845361923e-08,7.300000000000017e-09,-2.739211845361923e-08
7.620000000000036e-09,2.738702996736955e-08,7.620000000000036e-09,-2.738702996736955e-08
7.81875e-09,2.738943906771263e-08,7.81875e-09,-2.738943906771263e-08
7.830078125e-09,-5.154109307683908e-06,7.830078125e-09,5.154109307683908e-06
7.848455221283407e-09,-4.951194261264886e-06,7.848455221283407e-09,4.951194261264886e-06
7.855698634166741e-09,-3.396302795875323e-06,7.855698634166741e-09,3.396302795875323e-06
7.865225674765724e-09,9.305476132360077e-09,7.865225674765724e-09,-9.305476132360077e-09
7.875798987018975e-09,5.386013611910458e-06,7.875798987018975e-09,-5.386013611910458e-06
7.884112902910196e-09,1.07714999223008e-05,7.884112902910196e-09,-1.07714999223008e-05
7.892972836807691e-09,2.862795381596042e-05,7.892972836807691e-09,-2.862795381596042e-05
7.896482082731976e-09,4.091578745100161e-05,7.896482082731976e-09,-4.091578745100161e-05
7.901085262589661e-09,4.909485401739903e-05,7.901085262589661e-09,-4.909485401739903e-05
7.904537781628081e-09,4.764016433865382e-05,7.904537781628081e-09,-4.764016433865382e-05
7.908332314161983e-09,4.374939159546603e-05,7.908332314161983e-09,-4.374939159546603e-05
7.911505818601346e-09,3.549965035576167e-05,7.911505818601346e-09,-3.549965035576167e-05
7.914885333291346e-09,1.956494320151864e-05,7.914885333291346e-09,-1.956494320151864e-05
7.918075275798984e-09,7.088342553694409e-06,7.918075275798984e-09,-7.088342553694409e-06
7.919670247052804e-09,3.997720091013126e-06,7.919670247052804e-09,-3.997720091013126e-06
7.922860189560444e-09,2.024609133047173e-07,7.922860189560444e-09,-2.024609133047173e-07
7.926177100187194e-09,-1.190259079807155e-06,7.926177100187194e-09,1.190259079807155e-06
7.931218103621605e-09,-2.036834038724006e-06,7.931218103621605e-09,2.036834038724006e-06
7.93771700056052e-09,-2.081254434947867e-06,7.93771700056052e-09,2.081254434947867e-06
7.948201541537249e-09,-2.187219566522027e-06,7.948201541537249e-09,2.187219566522027e-06
7.964079278789388e-09,-2.099043302301702e-06,7.964079278789388e-09,2.099043302301702e-06
