/V0/MINUS X,/V0/MINUS Y
3.92429342819945e-09,3.523596204659356e-05
3.933038190793668e-09,3.381488713210565e-05
3.942401967220304e-09,3.219542742716816e-05
3.956840407257042e-09,2.912922016999761e-05
3.974096406436463e-09,2.542390731922503e-05
3.987048203218232e-09,2.310740318657107e-05
4e-09,2.099603820164492e-05
4.020000000000001e-09,1.907218898634156e-05
4.025646974560683e-09,2.288505020599158e-05
4.033970201324489e-09,2.320809141248075e-05
4.042099357652674e-09,2.180242569464285e-05
4.054007567009531e-09,2.133723222547602e-05
4.066812278842382e-09,2.036704427307332e-05
4.085617944945106e-09,2.015979345502468e-05
4.114591800974749e-09,2.059802710633123e-05
4.158999485393201e-09,2.451326490484965e-05
4.190068541396835e-09,2.744917185397269e-05
4.222597386886632e-09,2.895863818321712e-05
4.253204297097579e-09,2.835986375986209e-05
4.285330420090216e-09,2.709542797283348e-05
4.311760682019719e-09,2.352763606163711e-05
4.332673908888059e-09,1.87427527307678e-05
4.339562600665169e-09,1.696322886711396e-05
4.353339984219388e-09,1.418963483787986e-05
4.374111043770106e-09,1.076564695866552e-05
4.41565316287154e-09,6.307525367867194e-06
4.475187935515324e-09,2.864272342321497e-06
4.549690460897368e-09,9.024741604865776e-07
4.660974609506148e-09,-4.594858067280359e-07
4.836576642706833e-09,-9.71816702662878e-07
5e-09,-8.88872936285006e-07
5.02e-09,-8.299481258956559e-07
5.060000000000001e-09,-7.499893537079732e-07
5.140000000000003e-09,-5.829237205467759e-07
5.300000000000005e-09,-2.306484947261114e-07
5.620000000000011e-09,3.948731910566236e-07
5.81875e-09,6.579028438774186e-07
5.830078125e-09,1.809499263814794e-05
5.84865732987118e-09,2.207584369473446e-05
5.858165832556311e-09,2.723200195680763e-05
5.868299611594096e-09,3.445156037159414e-05
5.878840226447268e-09,3.622393713517182e-05
5.890320777797505e-09,4.177351383915301e-05
5.894327473386883e-09,4.336053688390053e-05
5.902340864565639e-09,4.536153220695244e-05
5.904099519709545e-09,4.533523189033008e-05
5.907616829997357e-09,4.428493203401862e-05
5.912793586078574e-09,4.542458254577881e-05
5.919200788076133e-09,4.708464028600361e-05
5.925823233281444e-09,4.842020981612627e-05
5.934509248179793e-09,4.942369448657697e-05
5.944346475316746e-09,4.871507784321041e-05
5.958353586082814e-09,5.249252946634795e-05
5.976655234930275e-09,0.0001655751263223085
5.988327617465138e-09,0.0004091015578022002
5.99416380873257e-09,0.0005920136071335963
6.000000000000001e-09,0.0008030027841668834
6.003738529641564e-09,0.0009441385818137265
6.011215588924689e-09,0.001196862979431375
6.015607794462345e-09,0.001268816092886694
6.020000000000001e-09,0.00120265215297532
6.022616984302286e-09,0.001100911121557176
6.026815507871697e-09,0.0009479504716747991
6.030741182109005e-09,0.0008434329003430102
6.038053794024809e-09,0.000711214089946905
6.044230442295905e-09,0.0006411225907283033
6.051535719493861e-09,0.0005905603826725094
6.057938752761926e-09,0.0005686743743433904
6.066322859554514e-09,0.0005501568668758239
6.072619162726518e-09,0.0005398841442226281
6.073921443492874e-09,0.0005367472496492704
6.076526005025585e-09,0.0005312664165507222
6.079731811550409e-09,0.0005202767181063016
6.083046934708459e-09,0.0005068428016180133
6.086646689446432e-09,0.0004891401448416633
6.090288063099813e-09,0.0004713288244037022
6.095638965365907e-09,0.0004440040371119484
6.099634566819777e-09,0.0004258093382117255
6.1047590648712e-09,0.0004041283092703203
6.113149955336837e-09,0.0003753276249279918
6.120496131674305e-09,0.0003526842863203123
6.126337849557588e-09,0.0003361933933652186
6.128669796899862e-09,0.0003291166198397554
6.133333691584408e-09,0.0003172311520428556
6.139867201284806e-09,0.000301702137805347
6.1529342206856e-09,0.0002780836951682569
6.172812924333309e-09,0.0002520768212890186
6.193398823253842e-09,0.0002340181616725101
6.215069391114837e-09,0.0002183493520643609
6.241528279946213e-09,0.0002032482102904601
6.265405465210175e-09,0.0001911267743649253
6.286824685611673e-09,0.0001807935739350079
6.303269603007414e-09,0.000171074622556105
